notification_date,age_group,confirmed_by_pcr,confirmed_cases_count
2020-05-17,AgeGroup_45-49,N/A,1
2020-05-18,AgeGroup_25-29,N/A,1
2020-05-18,AgeGroup_55-59,N/A,1
2020-05-19,AgeGroup_25-29,N/A,1
2020-05-19,AgeGroup_35-39,N/A,1
2020-05-19,AgeGroup_55-59,N/A,1
2020-05-19,AgeGroup_65-69,N/A,1
2020-05-20,AgeGroup_0-19,N/A,1
2020-05-21,AgeGroup_30-34,N/A,2
2020-05-21,AgeGroup_35-39,N/A,1
2020-05-23,AgeGroup_25-29,N/A,1
2020-05-24,AgeGroup_55-59,N/A,1
2020-05-25,AgeGroup_20-24,N/A,2
2020-05-27,AgeGroup_40-44,N/A,1
2020-05-28,AgeGroup_25-29,N/A,1
2020-05-28,AgeGroup_35-39,N/A,1
2020-05-29,AgeGroup_50-54,N/A,1
2020-05-30,AgeGroup_60-64,N/A,1
2020-05-30,AgeGroup_65-69,N/A,1
2020-05-31,AgeGroup_0-19,N/A,1
2020-05-31,AgeGroup_30-34,N/A,2
2020-05-31,AgeGroup_35-39,N/A,1
2020-05-31,AgeGroup_50-54,N/A,1
2020-06-01,AgeGroup_0-19,N/A,1
2020-06-01,AgeGroup_25-29,N/A,2
2020-06-01,AgeGroup_40-44,N/A,1
2020-06-02,AgeGroup_20-24,N/A,1
2020-06-03,AgeGroup_40-44,N/A,1
2020-06-03,AgeGroup_65-69,N/A,1
2020-06-04,AgeGroup_0-19,N/A,2
2020-06-04,AgeGroup_35-39,N/A,1
2020-06-06,AgeGroup_55-59,N/A,1
2020-06-07,AgeGroup_25-29,N/A,1
2020-06-07,AgeGroup_35-39,N/A,1
2020-06-07,AgeGroup_55-59,N/A,1
2020-06-08,AgeGroup_45-49,N/A,1
2020-06-09,AgeGroup_30-34,N/A,1
2020-06-09,AgeGroup_70+,N/A,2
2020-06-11,AgeGroup_0-19,N/A,1
2020-06-11,AgeGroup_20-24,N/A,1
2020-06-11,AgeGroup_30-34,N/A,1
2020-06-12,AgeGroup_20-24,N/A,1
2020-06-12,AgeGroup_25-29,N/A,1
2020-06-12,AgeGroup_30-34,N/A,1
2020-06-13,AgeGroup_0-19,N/A,2
2020-06-13,AgeGroup_25-29,N/A,2
2020-06-13,AgeGroup_30-34,N/A,1
2020-06-13,AgeGroup_35-39,N/A,2
2020-06-13,AgeGroup_40-44,N/A,1
2020-06-13,AgeGroup_50-54,N/A,1
2020-06-14,AgeGroup_20-24,N/A,1
2020-06-14,AgeGroup_25-29,N/A,4
2020-06-14,AgeGroup_30-34,N/A,1
2020-06-17,AgeGroup_30-34,N/A,1
2020-06-17,AgeGroup_50-54,N/A,1
2020-06-18,AgeGroup_0-19,N/A,4
2020-06-18,AgeGroup_25-29,N/A,1
2020-06-18,AgeGroup_30-34,N/A,1
2020-06-18,AgeGroup_35-39,N/A,1
2020-06-19,AgeGroup_25-29,N/A,1
2020-06-20,AgeGroup_0-19,N/A,4
2020-06-20,AgeGroup_35-39,N/A,1
2020-06-20,AgeGroup_40-44,N/A,1
2020-06-21,AgeGroup_50-54,N/A,1
2020-06-22,AgeGroup_30-34,N/A,1
